disease	state_abb	state_code	state_name	perc_level_low	perc_level_moderate	perc_level_high	perc_level_very_high
Influenza	SC	45	South Carolina	0.366504838565552	3.3035836912866	6.24066254400765	9.1777413967287
COVID-19	SC	45	South Carolina	0.779678647853532	2.21360504445429	3.64753144105504	5.0814578376558
RSV	SC	45	South Carolina	0.0437758036567582	0.349666927241627	0.655558050826495	0.961449174411364
ARI	SC	45	South Carolina	11.2393482868308	16.1646313545215	21.0899144222122	26.0151974899029
Influenza	SD	46	South Dakota	0.107663520150527	1.4517450637419	2.79582660733327	4.13990815092464
COVID-19	SD	46	South Dakota	0.463047734076824	1.25261668291056	2.04218563174429	2.83175458057803
RSV	SD	46	South Dakota	0.0556838174146855	0.429426543281552	0.803169269148418	1.17691199501528
ARI	SD	46	South Dakota	7.09293991662318	9.85081799618781	12.6086960757524	15.3665741553171
Influenza	TN	47	Tennessee	0.332859566854169	2.79116438433375	5.24946920181332	7.7077740192929
COVID-19	TN	47	Tennessee	0.738046426680436	1.92739752851377	3.1167486303471	4.30609973218043
RSV	TN	47	Tennessee	0.0743188919664283	0.477605612759586	0.880892333552745	1.2841790543459
ARI	TN	47	Tennessee	11.159036448309	15.2813460920594	19.4036557358097	23.5259653795601
Influenza	TX	48	Texas	0.520174196798285	2.54353442584249	4.5668946548867	6.59025488393091
COVID-19	TX	48	Texas	0.565954504897554	2.0777207241502	3.58948694340284	5.10125316265549
RSV	TX	48	Texas	0.0816356369911876	0.486860055469191	0.892084473947194	1.2973088924252
ARI	TX	48	Texas	11.6516815193029	15.4725592639722	19.2934370086415	23.1143147533108
Influenza	UT	49	Utah	0.204051288549113	2.02694474679294	3.84983820503676	5.67273166328058
COVID-19	UT	49	Utah	0.801491794024371	2.27392276043664	3.7463537268489	5.21878469326117
RSV	UT	49	Utah	0.0453125500085216	0.885549389631906	1.72578622925529	2.56602306887868
ARI	UT	49	Utah	10.8931248279202	14.916684224283	18.9402436206458	22.9638030170086
Influenza	VA	51	Virginia	0.269996393322792	2.46251085628429	4.65502531924579	6.84753978220729
COVID-19	VA	51	Virginia	0.613311182232651	1.96038096836806	3.30745075450347	4.65452054063888
RSV	VA	51	Virginia	0.0554625861287223	0.332493376801982	0.609524167475242	0.886554958148502
ARI	VA	51	Virginia	12.1658602931845	16.7785328242972	21.3912053554099	26.0038778865227
Influenza	VT	50	Vermont	0.161478759526905	2.50512968820188	4.84878061687685	7.19243154555183
COVID-19	VT	50	Vermont	0.575327309281069	1.50341128784659	2.43149526641212	3.35957924497764
RSV	VT	50	Vermont	0.0838052625684766	0.829157176714467	1.57450909086046	2.31986100500645
ARI	VT	50	Vermont	10.9177788316109	15.0677948691483	19.2178109066857	23.3678269442231
Influenza	WA	53	Washington	0.259309741488702	3.02574862465439	5.79218750782007	8.55862639098575
COVID-19	WA	53	Washington	0.871115374009525	2.2004050199449	3.52969466588027	4.85898431181564
RSV	WA	53	Washington	0.0455148517416957	0.61158985349889	1.17766485525608	1.74373985701328
ARI	WA	53	Washington	12.2895232596611	17.3144751055576	22.3394269514541	27.3643787973506
Influenza	WI	55	Wisconsin	0.140496439155569	1.76157489086172	3.38265334256787	5.00373179427401
COVID-19	WI	55	Wisconsin	0.527507482921962	1.43534356986904	2.34317965681611	3.25101574376319
RSV	WI	55	Wisconsin	0.0457745963981928	0.416852705416996	0.7879308144358	1.1590089234546
ARI	WI	55	Wisconsin	10.604721131927	14.4005766476894	18.1964321634519	21.9922876792143
Influenza	WV	54	West Virginia	0.125027003643313	2.35494682914699	4.58486665465066	6.81478648015433
COVID-19	WV	54	West Virginia	0.57679671134205	1.98858985883762	3.4003830063332	4.81217615382877
RSV	WV	54	West Virginia	0.072610173823666	0.87339747551367	1.67418477720367	2.47497207889368
ARI	WV	54	West Virginia	11.0197618734323	15.6814338737168	20.3431058740013	25.0047778742858
Influenza	WY	56	Wyoming	0.18207320882403	2.03349714897363	3.88492108912323	5.73634502927283
COVID-19	WY	56	Wyoming	0.791321117375274	2.25557531691173	3.7198295164482	5.18408371598466
RSV	WY	56	Wyoming	0.067830399921913	0.85301183737459	1.63819327482727	2.42337471227994
ARI	WY	56	Wyoming	9.62666199404063	13.6752626336958	17.723863273351	21.7724639130062
